,label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,ManualExamination,final_loc
0,LaCaS1,A13_L,-3.709764004,46.51277453,-11.68744028,-4.844184418,33.99941607,-13.07141343,Gray,Left ACgG anterior cingulate gyrus,Area s32,L Mid Orbital Gyrus,L OrG,Left frontal pole 1 B,,Left frontal pole 1 B
1,LaCaS10,A9l_L,-7.30810833,68.07234377,28.26850355,-9.890194659,54.14913193,36.37624907,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Unknown,Left superior frontal gyrus 1 B,Left superior frontal gyrus 1 B
2,LaCaS11,A9l_L,-7.30810833,70.46785146,33.06321681,-9.892678767,56.41547796,42.25348142,Unknown,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 2 C,,Left superior frontal gyrus 2 C
3,LaCaS12,Unknown,-7.707924366,71.66560531,37.45837063,-10.27373498,57.34730413,47.4655584,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
4,LaCaS2,A32sg_L,-4.10958004,48.90828222,-7.691845894,-5.55551708,36.20918928,-7.914435332,Gray,Left ACgG anterior cingulate gyrus,Area s32,L ACC,L CG,Left cingulate gyrus D,,Left cingulate gyrus D
5,LaCaS3,A32sg_L,-4.509396076,51.30378991,-3.296692073,-6.355796827,38.36412887,-2.340460422,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus E,,Left cingulate gyrus E
6,LaCaS4,A32sg_L,-4.909212112,53.69929761,1.098461747,-7.11084482,40.55138914,3.159460806,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus E,,Left cingulate gyrus E
7,LaCaS5,A32p_L,-5.309028149,56.0948053,5.493615568,-7.780132423,42.86496319,8.617915209,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus F,,Left cingulate gyrus F
8,LaCaS6,A32p_L,-5.708844185,58.49031299,9.888769388,-8.42050265,45.16155051,14.02094491,Gray,Left MSFG superior frontal gyrus medial segment,Unknown,L ACC,L CG,Left frontal pole 4 A,WM,WM
9,LaCaS7,A10m_L,-6.108660221,61.28507197,14.28392321,-8.794413891,47.80328494,19.41130118,Gray,Left MSFG superior frontal gyrus medial segment,Unknown,L Superior Medial Gyrus,L SFG,Left frontal pole 4 A,,Left frontal pole 4 A
10,LaCaS8,A10m_L,-6.508476257,63.68057966,18.67907703,-9.134972897,50.07147313,24.76050256,White,Left MSFG superior frontal gyrus medial segment,Unknown,L Superior Medial Gyrus,L SFG,Left superior frontal gyrus 1 A,WM,WM
11,LaCaS9,A9l_L,-6.908292294,65.67683607,23.47379029,-9.511446661,51.92033254,30.538397,Gray,Left Cerebral White Matter,Unknown,L Superior Medial Gyrus,L SFG,Unknown,Left superior frontal gyrus 1 B,Left superior frontal gyrus 1 B
12,LAglT1,rHipp_L,-20.90185356,11.37866169,-16.88171297,-21.34818086,-3.489526006,-24.43842151,Gray,Left Amygdala,Amygdala (LB),L Amygdala,L Hipp,Left amygdala inferior,,Left amygdala inferior
13,LAglT10,A21c_L,-65.68124962,9.781656563,-13.68523747,-68.24506762,-9.459903548,-20.5905255,Unknown,Unknown,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus B,OOB,OOB
