label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,Manual Examination,Notes,,,,,,
LaCas1,A32sg_L,-4.1959629,38.7558326,1.548926,-4.923962,30.5221245,-7.3179854,Gray,Left ACgG anterior cingulate gyrus,Area s24,L ACC,L CG,Left cingulate gyrus D,,,,,,,,
LaCas2,A24rv_L,-6.5936546,39.5558322,5.54653919,-7.4989449,32.1665242,-2.5058949,White,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus D,WM,,,,,,,
LaCas3,Unknown,-8.9913464,40.7558316,9.54415238,-10.170427,34.0694456,2.26504888,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,,,,,,,
LaCas4,Unknown,-11.389038,41.955831,13.9415269,-12.808619,36.0206653,7.46289096,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,,,,,,,
LaCas5,Unknown,-13.78673,43.1558304,17.9391401,-15.421547,37.8837832,12.1213845,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,,,,,,,
LaCas6,Unknown,-16.584037,44.3558298,22.3365146,-18.381914,39.8208155,17.2477006,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,,,,,,,
LaCas7,A9/46d_L,-18.981729,45.955829,26.3341278,-21.004732,42.2133711,21.8574075,White,Left MFG middle frontal gyrus,Unknown,L Superior Frontal Gyrus,L MFG,Left middle frontal gyrus 2 A,WM,,,,,,,
LaCas8,A9/46d_L,-21.37942,47.5558282,30.331741,-23.678328,44.7086434,26.4888461,Gray,Left SFG superior frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Left middle frontal gyrus 2 A,WM,,,,,,,
LaCas9,A9/46d_L,-23.777112,48.7558275,34.7291155,-26.211021,46.8498709,31.6062268,Gray,Left SFG superior frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Left middle frontal gyrus 2 A,,,,,,,,
LaCas10,A9/46d_L,-25.375573,50.3558267,39.12649,-27.839044,49.5309899,36.6570982,Gray,Left SFG superior frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Left middle frontal gyrus 3 B,,,,,,,,
LaCas11,Unknown,-27.773265,51.1558263,42.3245806,-30.31821,51.0667977,40.4681547,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,,,,,,,
LaCas12,Unknown,-30.170957,51.9558259,45.5226711,-32.798468,52.6146473,44.3379026,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,,,,,,,
LAgIT1,mAmyg_L,-19.780959,12.355846,-12.842481,-20.452447,-3.3049761,-20.917293,Gray,Left Amygdala,Amygdala (LB),L Amygdala,L Amyg,Left amygdala superior,,,,,,,,
LAgIT2,rHipp_L,-24.576343,11.1558466,-13.242243,-25.511948,-5.1152728,-21.161436,Gray,Left Amygdala,Amygdala (LB),L Hippocampus,L Hipp,Left amygdala inferior,,,,,,,,
LAgIT3,rHipp_L,-29.371726,9.9558472,-13.242243,-30.633163,-6.9909711,-20.871022,Gray,Left Amygdala,Amygdala (LB),L Hippocampus,L Hipp,Left amygdala inferior,,,,,,,,
LAgIT4,Unknown,-34.167109,8.75584781,-13.642004,-35.856669,-9.0395461,-21.018965,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,,,,,,,
LAgIT5,A20rv_L,-38.962493,7.15584862,-14.041765,-40.984342,-11.613407,-21.180162,White,Left Cerebral White Matter,Unknown,L Inferior Temporal Gyrus,L FuG,Unknown,WM,,,,,,,
LAgIT6,Unknown,-43.757876,5.95584923,-14.441527,-46.151197,-13.58977,-21.34002,White,Left Cerebral White Matter,Unknown,L Middle Temporal Gyrus,Unknown,Unknown,WM,,,,,,,
LAgIT7,A21r_L,-48.55326,4.75584984,-14.441527,-51.315687,-15.433606,-20.937472,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left inferior middle temporal gyrus B,,,,,,,,
LAgIT8,A20il_L,-53.348643,3.55585045,-14.841288,-56.388821,-17.18783,-20.67453,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L ITG,Left inferior middle temporal gyrus B,,,,,,,,
LAgIT9,A21c_L,-58.144027,2.35585105,-15.241049,-61.445505,-18.886514,-20.365192,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left inferior middle temporal gyrus B,,,,,,,,
LAgIT10,A21c_L,-62.14018,1.55585146,-15.241049,-65.677137,-20.002049,-19.819562,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left inferior middle temporal gyrus B,,,,,,,,
LAgIT11,Unknown,-67.335178,1.15585166,-16.040572,-71.455776,-20.768199,-20.326589,Unknown,Unknown,Unknown,Unknown,Unknown,Left inferior middle temporal gyrus B,OOB,,,,,,,
LAgIT12,Unknown,-71.730947,-0.0441477,-16.040572,-76.591089,-22.173446,-19.920865,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,,,,,,,
LaImM1,dIg_L,-37.364032,10.355847,0.74940336,-39.349983,-4.9606819,-4.524257,Gray,Left PIns posterior insula,Unknown,L Insula Lobe,L INS,Left anterior long insular gyrus C,,,,,,,,
LaImM2,dIg_L,-35.765571,11.5558464,5.14677787,-37.783757,-2.608969,0.41605113,Gray,Left AIns anterior insula,Unknown,L Insula Lobe,L INS,Left posterior short insular gyrus B,,,,,,,,
LaImM3,dId_L,-33.767494,12.7558458,9.54415238,-35.734211,-0.1974546,5.41025273,Gray,Left AIns anterior insula,Unknown,L Insula Lobe,L INS,Left posterior short insular gyrus B,,,,,,,,
LaImM4,dId_L,-32.169033,14.355845,13.9415269,-34.12493,2.64944892,10.389304,Gray,Left AIns anterior insula,Unknown,L Insula Lobe,L INS,Left posterior short insular gyrus A,,,,,,,,
LaImM5,dId_L,-30.170957,15.5558444,18.3389014,-32.063764,5.03899377,15.5455706,Gray,Left CO central operculum,Unknown,L Insula Lobe,L INS,Left posterior motor K,,,,,,,,
LaImM6,Unknown,-28.572495,17.1558436,23.1360372,-30.393068,7.8663574,21.240388,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,,,,,,,
LaImM7,Unknown,-26.974034,18.7558427,27.5334117,-28.906207,10.6227789,26.4220821,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,,,,,,,
LaImM8,Unknown,-24.975958,20.3558419,31.9307863,-26.887332,13.415598,31.4999965,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,,,,,,,
LaImM9,Unknown,-23.377497,21.9558411,36.3281608,-25.142014,16.1900977,36.5228293,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,,,,,,,
LaImM10,A8dl_L,-21.37942,23.5558403,40.325774,-22.898131,19.011422,41.0986766,Gray,Left SFG superior frontal gyrus,Unknown,L Middle Frontal Gyrus,L SFG,Left superior frontal gyrus 4 D,WM,,,,,,,
LaImM11,A8dl_L,-19.381344,25.1558395,44.7231485,-20.599817,21.9417009,46.1363428,Gray,Left SFG superior frontal gyrus,Unknown,L Middle Frontal Gyrus,L SFG,Left superior frontal gyrus 4 D,,,,,,,,
LaImM12,A8dl_L,-17.383267,26.7558387,49.120523,-18.34484,24.8420892,51.1247461,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 4 D,,,,,,,,
LaImM13,A8dl_L,-15.385191,28.3558379,53.5178975,-16.153476,27.6851123,56.1302286,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 4 D,,,,,,,,
LaImM14,A8dl_L,-13.387115,29.9558371,57.915272,-14.035306,30.5264172,61.2192704,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 4 C,,,,,,,,
LaImM15,Unknown,-11.389038,31.9558361,62.7124078,-11.957433,33.9450888,66.7380974,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,,,,,,,
LaImM16,Unknown,-10.190192,31.9558361,66.710021,-10.683108,34.9002717,71.5581955,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,,,,,,,
LHpIT1,rHipp_L,-21.779036,0.75585186,-13.242243,-22.887887,-16.447214,-19.40183,Gray,Left Hippocampus,CA3 (Hippocampus),L Hippocampus,L Hipp,Left hippocampus pes,Left hippocampus pes,dentate gyrus,,,,,,
LHpIT2,A21c_L,-60.142103,-6.8441443,-7.6455843,-63.744606,-28.130846,-9.7676567,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left inferior middle temporal gyrus D,Left hippocampus pes,CA1,,,,,,
LHpIT3,aSTS_L,-55.746335,-5.6441449,-8.0453457,-59.038192,-26.663146,-10.89666,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus C,Left hippocampus body,CA1,,,,,,
LHpIT4,aSTS_L,-50.950952,-4.8441453,-8.8448683,-53.901278,-25.639601,-12.519628,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus C,OOB,ventricle,,,,,,
LHpIT5,aSTS_L,-45.755953,-3.6441459,-9.2446296,-48.286701,-23.856334,-13.483494,White,Left Cerebral White Matter,Unknown,L Middle Temporal Gyrus,L MTG,Unknown,WM,,,,,,,
LHpIT6,Unknown,-40.960569,-2.8441463,-10.044152,-43.190498,-22.48742,-14.634768,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,,,,,,,
LHpIT7,cHipp_L,-36.165186,-2.0441467,-10.843675,-38.105115,-21.051161,-15.765553,White,Left Cerebral White Matter,CA1 (Hippocampus),L Fusiform Gyrus,L Hipp,Left hippocampus body,Left inferior middle temporal gyrus C,,,,,,,
LHpIT8,cHipp_L,-31.369802,-1.2441471,-11.643198,-33.085992,-19.579863,-16.826962,Gray,Left Hippocampus,CA2 (Hippocampus),L Hippocampus,L Hipp,Left hippocampus body,Left inferior middle temporal gyrus C,,,,,,,
LHpIT9,cHipp_L,-26.574419,-0.0441477,-12.44272,-27.965191,-17.785089,-18.141712,Gray,Left Hippocampus,CA3 (Hippocampus),L Hippocampus,L Hipp,Left hippocampus pes,Left inferior middle temporal gyrus C,,,,,,,
LHpIT10,A21c_L,-64.937487,-7.2441441,-6.8460617,-68.732358,-28.587747,-8.4269526,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus C,Left inferior middle temporal gyrus C,,,,,,,
LILS1_1,A5l_L,-24.975958,-36.044129,31.9307863,-26.561482,-50.582092,41.2001079,Gray,Left SPL superior parietal lobule,Area hIP3 (IPS),L Inferior Parietal Lobule,L SPL,Left superior parietal 3 F,,lesion,,,,,,
LILS1_2,A7ip_L,-25.375573,-39.644128,35.5286381,-26.800727,-53.875586,46.3000423,White,Left SPL superior parietal lobule,Area hIP3 (IPS),L Inferior Parietal Lobule,L SPL,Left superior parietal 2 D,WM,lesion,,,,,,
LILS1_3,A7ip_L,-25.375573,-43.244126,38.7267287,-26.665905,-57.175343,50.9370637,Gray,Left SPL superior parietal lobule,Area hIP3 (IPS),L Superior Parietal Lobule,L SPL,Left superior parietal 3 F,,lesion,,,,,,
LILS1_4,A7ip_L,-25.375573,-46.844124,42.3245806,-26.493254,-60.380489,56.0215887,Gray,Left SPL superior parietal lobule,Area 7A (SPL),L Superior Parietal Lobule,L SPL,Left superior parietal 3 F,,lesion,,,,,,
LILS1_5,A7ip_L,-24.975958,-50.444122,45.5226711,-25.866717,-63.626595,60.5272061,Gray,Left SPL superior parietal lobule,Area 7A (SPL),L Superior Parietal Lobule,L SPL,Left superior parietal 2 D,,lesion,,,,,,
LILS1_6,A7r_L,-25.375573,-53.644121,48.7207617,-26.207356,-66.575044,65.0566932,Gray,Left SPL superior parietal lobule,Area 7A (SPL),L Superior Parietal Lobule,L SPL,Left superior parietal 2 D,OOB,lesion,,,,,,
LILS1_7,Unknown,-24.576343,-56.844119,51.5190909,-25.32355,-69.541115,69.1810367,Unknown,Unknown,Area 7A (SPL),Unknown,Unknown,Unknown,OOB,lesion,,,,,,
LILS1_8,Unknown,-24.576343,-59.244118,54.3174201,-25.320285,-71.684284,73.1628156,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,lesion,,,,,,
LILS2_1,A5l_L,-30.570572,-32.044132,29.5322183,-32.671661,-47.166862,37.5780631,Gray,Left SMG supramarginal gyrus,Area hIP1 (IPS),L Inferior Parietal Lobule,L SPL,Left supramarginal gyrus 4 A,,lesion,,,,,,
LILS2_2,A39rd_L,-34.566725,-32.844131,32.3305476,-36.878273,-47.85901,41.2070298,Gray,Left SMG supramarginal gyrus,Area hIP1 (IPS),L Inferior Parietal Lobule,L IPL,Left superior parietal 2 D,,lesion,,,,,,
LILS2_3,A39rd_L,-38.562878,-33.244131,35.1288768,-41.059996,-48.075197,44.8107527,Gray,Left SMG supramarginal gyrus,Area hIP3 (IPS),L Inferior Parietal Lobule,L IPL,Left supramarginal gyrus 4 A,,lesion,,,,,,
LILS2_4,A39rd_L,-42.559031,-34.044131,37.927206,-45.189958,-48.674326,48.5463906,Gray,Left SMG supramarginal gyrus,Area hIP2 (IPS),L Inferior Parietal Lobule,L IPL,Left supramarginal gyrus 3 A,,lesion,,,,,,
LILS2_5,A40rd_L,-45.755953,-34.044131,40.7255353,-48.381093,-48.20513,52.0299003,Gray,Left SMG supramarginal gyrus,Area PF (IPL),L Inferior Parietal Lobule,L IPL,Left supramarginal gyrus 3 A,,lesion,,,,,,
LILS2_6,A40c_L,-50.151721,-33.644131,43.1241032,-52.848744,-47.395138,55.130156,Gray,Left SMG supramarginal gyrus,Area PF (IPL),L Inferior Parietal Lobule,L IPL,Left supramarginal gyrus 3 A,OOB,lesion,,,,,,
LmCmS1,A24rv_L,-4.5955782,7.55584842,25.9343665,-4.8408009,-0.0535446,26.650712,White,Left Cerebral White Matter,Area 33,Unknown,L CG,Unknown,Left cingulate gyrus J,,,,,,,
LmCmS2,A24rv_L,-6.1940393,9.55584741,30.331741,-6.4917155,2.83083059,31.7705248,White,Left Cerebral White Matter,Area 33,L MCC,L CG,Left cingulate gyrus J,,,,,,,,
LmCmS3,A24cd_L,-7.3928852,11.5558464,34.7291155,-7.6476832,5.75851926,36.7460026,Gray,Left MCgG middle cingulate gyrus,Unknown,L MCC,L CG,Left cingulate gyrus J,,,,,,,,
LmCmS4,A24cd_L,-8.9913464,13.1558456,39.12649,-9.3133725,8.1426345,41.5276995,Gray,Left SMC supplementary motor cortex,Unknown,L MCC,L CG,Left superior frontal gyrus 5 A,,,,,,,,
LmCmS5,A8m_L,-10.190192,15.1558446,43.5238645,-10.53816,11.1008919,46.300585,White,Left SMC supplementary motor cortex,Unknown,L Posterior-Medial Frontal,L SFG,Left superior frontal gyrus 5 A,WM,,,,,,,
LmCmS6,A8m_L,-11.389038,17.1558436,47.921239,-11.640695,14.1147095,51.1106798,White,Left Cerebral White Matter,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 5 A,WM,,,,,,,
LmCmS7,A8dl_L,-12.987499,18.7558427,52.7183748,-13.315049,16.7578857,56.4859082,White,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 5 C,WM,,,,,,,
LmCmS8,A8dl_L,-14.186345,20.7558417,57.1157494,-14.574175,19.7668046,61.2830496,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 5 D,,,,,,,,
LmCmS9,Unknown,-15.784806,21.9558411,61.9128852,-16.241967,21.9841475,66.8022684,Gray,Unknown,Unknown,L Superior Frontal Gyrus,Unknown,Left superior frontal gyrus 5 D,,,,,,,,
LmCmS10,Unknown,-16.584037,23.5558403,66.710021,-17.111827,24.8646212,72.4760567,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,,,,,,,
LMLS3_1,A5l_L,-34.167109,-30.844132,41.1252966,-36.144375,-43.713384,51.1816917,Gray,Left SPL superior parietal lobule,Area 7PC (SPL),L Inferior Parietal Lobule,L SPL,Left superior parietal 1 G,,lesion ,,,,,,
