label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,Manual Examination,Notes,
LaCaS1,A32sg_L,-4.3455315,38.9316092,2.34861851,-4.3665551,31.3129794,-9.0767908,Gray,Left ACgG anterior cingulate gyrus,Area s24,L ACC,L CG,Left cingulate gyrus D,,,
LaCaS10,A9l_L,-13.125783,44.9278984,45.9041901,-15.823208,44.0341917,42.0942872,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 2 C,,,
LaCaS11,A9l_L,-13.923987,45.327651,50.6992989,-16.731668,45.2443611,47.7223659,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 3 D,OOB,borderline,
LaCaS12,Unknown,-15.121294,46.1271563,56.2935925,-18.020168,46.91897,54.0809272,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,,
LaCaS2,A32sg_L,-5.5428385,39.7311144,7.1437273,-5.8825623,33.1133444,-3.397774,Gray,Left ACgG anterior cingulate gyrus,Area 33,L ACC,L CG,Left cingulate gyrus D,WM,,
LaCaS3,A24rv_L,-6.3410431,40.5306196,11.5392437,-6.9452864,34.6290417,1.87373335,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus E,,,
LaCaS4,Unknown,-7.1392478,40.9303722,15.5351677,-8.0491305,35.510571,6.70584557,Gray,Left Cerebral White Matter,Unknown,L ACC,Unknown,Unknown,Left cingulate gyrus E,,
LaCaS5,A32p_L,-8.3365548,41.7298775,21.5290537,-9.8703658,36.986134,13.7709355,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus F,WM,,
LaCaS6,A10m_L,-9.5338618,42.5293827,26.3241625,-11.562713,38.469926,19.3170194,Gray,Left ACgG anterior cingulate gyrus,Unknown,L Superior Medial Gyrus,L SFG,Left cingulate gyrus G,,borderline,
LaCaS7,A10m_L,-10.332066,42.9291353,31.5188637,-12.534479,39.6408811,25.4222512,White,Left MSFG superior frontal gyrus medial segment,Unknown,L Superior Medial Gyrus,L SFG,Left superior frontal gyrus 1 A,WM,,
LaCaS8,Unknown,-11.130271,43.7286406,36.3139725,-13.426654,41.2401375,30.9448564,White,Left Cerebral White Matter,Unknown,L Superior Frontal Gyrus,Unknown,Unknown,,,
LaCaS9,A9l_L,-11.928476,44.5281458,40.7094889,-14.423727,42.8088713,36.0062047,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Unknown,Left superior frontal gyrus 2 C,,
LAgIT1,A38m_L,-24.69975,19.3437309,-16.432224,-26.172019,5.5730027,-27.922948,Gray,Left TMP temporal pole,Unknown,L Temporal Pole,L STG,Left parahippocampal gyrus A,,,
LAgIT2,A38m_L,-29.089876,16.9452152,-16.032632,-31.450155,3.03451272,-27.093725,Gray,Left Ent entorhinal area,Unknown,Unknown,L STG,Left superior temporal pole A,OOB,ventricle/lesion,
LAgIT3,Unknown,-33.480002,14.9464521,-15.633039,-36.824691,0.79564227,-26.428953,Gray,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,OOB,borderline 'ventricle/lesion,borderline
LAgIT4,Unknown,-38.26923,12.9476891,-15.233447,-42.691398,-1.6349605,-25.87223,White,Left Cerebral White Matter,Unknown,L Middle Temporal Gyrus,Unknown,Unknown,WM,,
LAgIT5,A21r_L,-42.659355,11.3486786,-14.434262,-48.000216,-3.5723755,-24.821672,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus A,,,
LAgIT6,A21r_L,-47.448583,9.74966812,-14.03467,-53.674353,-5.5725333,-24.166254,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left inferior middle temporal gyrus A,,,
LAgIT7,A21r_L,-52.237811,8.55041027,-13.635077,-59.351413,-7.0920803,-23.593173,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left inferior middle temporal gyrus A,,,
LAgIT8,A21r_L,-57.426141,6.9513998,-13.235485,-65.35303,-9.101751,-22.788499,Unknown,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left inferior middle temporal gyrus A,OOB,,
LAgIT9,Unknown,-61.816267,6.15189457,-12.835893,-70.297659,-10.218288,-22.065093,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,,
LaLIT1,A38m_L,-24.69975,24.1407623,-27.620811,-26.153827,8.28082241,-42.903405,Gray,Left TMP temporal pole,Unknown,L Fusiform Gyrus,L STG,Left inferior middle temporal pole B,,,
LaLIT2,A38m_L,-29.089876,23.3412571,-25.622849,-31.272329,7.81373669,-40.313014,Gray,Left TMP temporal pole,Unknown,L Inferior Temporal Gyrus,L STG,Left superior middle temporal pole B,,,
LaLIT3,A20r_L,-33.480002,22.1419992,-23.225295,-36.480794,7.00323655,-37.341929,Gray,Left TMP temporal pole,Unknown,L Inferior Temporal Gyrus,L ITG,Left inferior middle temporal pole C,,,
LaLIT4,A20r_L,-37.870127,21.342494,-20.428148,-41.814057,6.65179234,-34.067597,Gray,Left TMP temporal pole,Unknown,L Inferior Temporal Gyrus,L ITG,Left superior middle temporal pole D,,,
LaLIT5,A21r_L,-42.260253,20.1432362,-18.030594,-47.193426,5.60288674,-31.194788,Gray,Left TMP temporal pole,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal pole D,,,
LaLIT6,A21r_L,-46.251276,19.3437309,-15.633039,-52.038662,4.91576576,-28.287523,Gray,Left TMP temporal pole,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal pole D,OOB,,
LaLIT7,A21r_L,-50.641402,17.7447205,-13.635077,-57.215787,3.18016817,-25.594641,Unknown,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal pole D,OOB,,
LaLIT8,A21r_L,-54.632425,16.9452152,-10.837931,-61.874981,2.58657085,-22.037158,Unknown,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus A,OOB,,
LaLmF1,A38l_L,-31.883592,14.5466995,-12.036708,-35.121164,1.01890016,-21.882297,Gray,Left Cerebral White Matter,Unknown,Unknown,L STG,Unknown,OOB,ventricle/lesion,
LaLmF10,IFJ_L,-30.287183,17.7447205,32.3180485,-34.79897,10.6090014,32.0763799,Gray,Left MFG middle frontal gyrus,Unknown,L IFG (p Opercularis),L MFG,Left middle frontal gyrus 5 A,,,
LaLmF11,IFJ_L,-29.888081,18.1444731,37.5127497,-34.625614,11.8175597,38.2695769,Gray,Left MFG middle frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Unknown,Left middle frontal gyrus 5 B,,
LaLmF12,A8vl_L,-29.488978,18.5442257,42.7074509,-34.186916,13.1150634,44.4685872,Gray,Left MFG middle frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Unknown,Left middle frontal gyrus 6 B,,
LaLmF13,A8vl_L,-29.488978,18.9439783,47.5025597,-34.141687,14.3529199,50.1461313,Gray,Left MFG middle frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Left middle frontal gyrus 6 A,,,
LaLmF14,A8vl_L,-29.089876,19.7434835,52.2976685,-33.547723,16.0647547,55.7304423,Gray,Left MFG middle frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Left middle frontal gyrus 6 A,,,
LaLmF2,vId/vIg_L,-31.883592,14.9464521,-7.2415991,-35.387927,2.08038754,-16.165727,Gray,Left PIns posterior insula,Unknown,Unknown,L INS,Unknown,Left posterior long insular gyrus D,,
LaLmF3,vId/vIg_L,-31.883592,15.3462048,-2.0468979,-35.660694,3.15872202,-9.8801554,Gray,Left AIns anterior insula,Unknown,L Insula Lobe,L INS,Unknown,Left posterior short insular gyrus C,,
LaLmF4,dId_L,-31.883592,15.3462048,2.74821091,-35.973843,3.74690161,-3.8944624,Gray,Left AIns anterior insula,Unknown,L Insula Lobe,L INS,Unknown,Left posterior short insular gyrus C,,
LaLmF5,dId_L,-31.48449,15.7459574,7.9429121,-35.882331,4.92501492,2.54918239,Gray,Left AIns anterior insula,Unknown,L Insula Lobe,L INS,Left posterior short insular gyrus B,,,
LaLmF6,dId_L,-31.48449,16.14571,12.7380209,-36.158054,6.04654118,8.50678287,Gray,Left AIns anterior insula,Unknown,L Insula Lobe,L INS,Left middle short insular gyrus A,,,
LaLmF7,dId_L,-31.085388,16.5454626,17.5331297,-35.766634,7.14652527,14.4360235,White,Left CO central operculum,Unknown,L Rolandic Operculum,L INS,Left anterior motor D,WM,,
LaLmF8,Unknown,-30.686285,16.9452152,22.7278309,-35.216771,8.30921593,20.6842516,White,Left Cerebral White Matter,Unknown,L IFG (p Opercularis),Unknown,Unknown,WM,,
LaLmF9,A44d_L,-30.686285,17.3449678,27.5229397,-35.12877,9.4609483,26.400225,Gray,Left OpIFG opercular part of the inferior frontal gyrus,Unknown,L IFG (p Opercularis),L IFG,Left pars opercularis A,WM,,
RHpIT1,rHipp_R,17.6050967,4.15313148,-14.833855,21.8308953,-10.920758,-21.865694,Gray,Right Hippocampus,CA1 (Hippocampus),R ParaHippocampal Gyrus,R Hipp,Right hippocampus pes,,,
RHpIT10,A22c_R,58.3135344,-9.0387049,4.34658051,68.4708625,-21.196902,3.23376383,Gray,Right STG superior temporal gyrus,Area TE 3,R Superior Temporal Gyrus,R STG,Right superior temporal gyrus D,,borderline OOB,
